;;;;;;;
artist_name;track_name;popularity;year;genre;danceability;energy;valence
Frédéric Chopin;"12 Études, Op. 10: No. 8 in F Major ""Sunshine""";19;2013;classical;0,337;0,14;0,191
Frédéric Chopin;12 Études, Op. 25: No. 5 in E Minor;19;2013;classical;0,402;0,0398;0,169
Sergei Rachmaninoff;Piano Concerto No. 3 in D Minor, Op. 30: II. Intermezzo (Adagio) - Live;19;2013;classical;0,137;0,0409;0,0369
Frédéric Chopin;"12 Études, Op. 25: No. 2 in F Minor ""The Bees""";18;2013;classical;0,26;0,0451;0,328
Frédéric Chopin;12 Études, Op. 10: No. 9 in F Minor;18;2013;classical;0,298;0,0744;0,0653
Frédéric Chopin;Cello Sonata in G Minor, Op. 65: III. Largo;22;2013;classical;0,194;0,0357;0,0571
Frédéric Chopin;12 Études, Op. 25: No. 9 in G-Flat Major;18;2013;classical;0,415;0,28;0,721
Frédéric Chopin;"12 Études, Op. 10: No. 7 in C Major ""Toccata""";18;2013;classical;0,332;0,15;0,361
Frédéric Chopin;"12 Études, Op. 10: No. 11 in E-Flat Major ""Arpeggio""";17;2013;classical;0,358;0,0193;0,0711
Frédéric Chopin;12 Études, Op. 10: No. 10 in A-Flat Major;17;2013;classical;0,295;0,0886;0,252
Frédéric Chopin;12 Études, Op. 25: No. 7 in C-Sharp Minor;17;2013;classical;0,331;0,00696;0,0811
Claude Debussy;Suite bergamasque, L.75: 3. Clair de lune;18;2013;classical;0,385;0,00703;0,0392
Frédéric Chopin;"12 Études, Op. 25: No. 3 in F Major ""The Horseman""";17;2013;classical;0,338;0,0667;0,221
Frédéric Chopin;12 Études, Op. 25: No. 6 in G-Sharp Minor;17;2013;classical;0,348;0,166;0,189
Frédéric Chopin;"12 Études, Op. 25: No. 4 in A Minor ""Paganini""";17;2013;classical;0,418;0,121;0,902
Ludwig van Beethoven;Concerto for violin, cello and piano in C major op. 56 “Triple Concerto” : Largo (attacca);24;2013;classical;0,0787;0,0282;0,0381
Frédéric Chopin;Nocturne No. 2 in E-Flat Major, Op. 9 No. 2;21;2013;classical;0,294;0,0283;0,0865
Frédéric Chopin;Berceuse In D Flat, Op. 57: Andante;16;2013;classical;0,318;0,0164;0,0962
Frédéric Chopin;"12 Études, Op. 25: No. 10 in B Minor ""Octave""";16;2013;classical;0,3;0,203;0,119
Sergei Rachmaninoff;Cello Sonata in G Minor, Op. 19: III. Andante;21;2013;classical;0,176;0,015;0,0393
Frédéric Chopin;Nocturne No. 1 in B Flat Minor, Op. 9: No. 1;15;2013;classical;0,415;0,0148;0,039
Frédéric Chopin;"12 Études, Op. 25: No. 8 in D-Flat Major ""Sixths""";15;2013;classical;0,356;0,262;0,251
Frédéric Chopin;"Polonaise No. 6 in A-Flat Major, Op. 53 ""Heroic""";15;2013;classical;0,233;0,279;0,213
Franz Liszt;Wagner - Tannhäuser: Pilgrim's Chorus, S443/R276;25;2013;classical;0,392;0,0359;0,0556
Sergei Rachmaninoff;Rachmaninov: 13 Preludes, Op. 32: No. 12 in G-Sharp Minor;15;2013;classical;0,206;0,0786;0,0509
Sergei Rachmaninoff;帕格尼尼主題狂想曲 Rhapsody on a Theme of Paganini - Arr. for Piano & Voice by Zhao Jian;30;2013;classical;0,387;0,119;0,0812
Ludwig van Beethoven;"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise"": Poco moto";19;2013;classical;0,344;0,0374;0,349
Claude Debussy;Préludes / Book 1, L. 117: La fille aux cheveux de lin (Arr. Koncz);22;2013;classical;0,121;0,00466;0,066
Franz Liszt;3 Sonetti di Petrarca (1st version), S158/R10b: Sonetto No. 47. Benedetto sia 'lgiorno;23;2013;classical;0,359;0,0742;0,0338
Ludwig van Beethoven;"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto";17;2013;classical;0,263;0,00325;0,134
Sergei Rachmaninoff;Sergei Rachmaninoff: Bogoróditse Dévo;21;2013;classical;0,18;0,107;0,0378
Claude Debussy;Deux Arabesques, L.66: No. 1 Andante con moto;18;2013;classical;0,334;0,0232;0,11
Franz Liszt;6 Consolations, S. 172: No. 3 In D Flat Major (Lento, placido);17;2013;classical;0,307;0,00598;0,0823
Ludwig van Beethoven;"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile";16;2013;classical;0,232;0,00244;0,105
Ludwig van Beethoven;Symphony No. 5 in C minor, Op. 67: 3. Allegro;20;2013;classical;0,346;0,0683;0,279
Claude Debussy;Beau Soir, L.6;17;2013;classical;0,0736;0,0274;0,0362
Felix Mendelssohn;Violin Concerto in D Minor, MWV O3: III. Allegro;22;2013;classical;0,358;0,167;0,427
Ludwig van Beethoven;"Symphony No. 6 in F Major, Op. 68, ""Pastoral"": I. Awakening of Cheerful Feelings Upon Arrival in the Country: Allegro ma non troppo";21;2013;classical;0,302;0,0355;0,186
Claude Debussy;Images - Book 1, L.111: I. Reflets dans l'eau;16;2013;classical;0,365;0,0248;0,0318
Claude Debussy;ドビュッシー:ベルガマスク組曲〜月の光;36;2013;classical;0,389;0,036;0,0385
Claude Debussy;Golliwog's Cake-walk;17;2013;classical;0,482;0,132;0,277
Ludwig van Beethoven;Beethoven: Piano Sonata No. 6 in F Major, Op. 10 No. 2: II. Allegretto;14;2013;classical;0,425;0,0353;0,0599
Felix Mendelssohn;"Lieder ohne Worte, Op. 19: 6. Andante sostenuto ""Venetian Gondola Song""";17;2013;classical;0,439;0,00983;0,274
Franz Liszt;Ellens Gesang III (Ave Maria), S558 no.12 (after Schubert’s D839);12;2013;classical;0,211;0,0177;0,0392
Frédéric Chopin;Polonaise No. 5 in F-Sharp Minor, Op. 44;11;2013;classical;0,297;0,255;0,212
Claude Debussy;Préludes - Book 1, L.117: VIII. La fille aux cheveux de lin;16;2013;classical;0,383;0,006;0,157
Sergei Rachmaninoff;"Rachmaninov: Prelude No. 1 in C-Sharp Minor, Op. 3 No. 2 ""The Bells of Moscow""";21;2013;classical;0,489;0,14;0,0662
Franz Liszt;Wagner - Isoldes Liebestod aus Tristan und Isolde, S447/R280;20;2013;classical;0,247;0,111;0,0347
Frédéric Chopin;Polonaise No. 1 in C-Sharp Minor, Op. 26, No. 1;10;2013;classical;0,196;0,0425;0,0475
